epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,733.533,1.71554,2.24702,1.67053,0.54504,0.44913,0.46755,0.22604,1.76592,2.39389,1.68651,0.000665076,0.000665076,0.000665076
2,1522.56,1.71903,1.87076,1.66922,0.59331,0.48613,0.51785,0.2406,1.71482,1.96821,1.76195,0.00130537,0.00130537,0.00130537
3,2551.45,1.71437,1.81888,1.68269,0.60376,0.49332,0.52871,0.23923,1.81016,1.84787,1.81193,0.00191927,0.00191927,0.00191927
4,3337.61,1.6928,1.71696,1.65739,0.67565,0.54368,0.60618,0.30143,1.72354,1.6924,1.68191,0.0018812,0.0018812,0.0018812
5,4454.92,1.65836,1.63528,1.60882,0.62758,0.55941,0.59794,0.28846,1.75497,1.65071,1.78939,0.0018416,0.0018416,0.0018416
6,5622.81,1.62253,1.56921,1.59595,0.64119,0.56115,0.60714,0.32219,1.62423,1.56943,1.61981,0.001802,0.001802,0.001802
7,6711.09,1.58716,1.5489,1.57297,0.6773,0.64712,0.68353,0.36306,1.61658,1.43862,1.63762,0.0017624,0.0017624,0.0017624
8,7683.52,1.5511,1.4637,1.54581,0.74685,0.56526,0.68234,0.34633,1.6154,1.43473,1.65512,0.0017228,0.0017228,0.0017228
9,8485.6,1.54605,1.4443,1.53802,0.70887,0.63823,0.71375,0.40794,1.4955,1.35382,1.55702,0.0016832,0.0016832,0.0016832
10,9439.66,1.52059,1.40446,1.51764,0.72383,0.6629,0.72926,0.40583,1.52622,1.3731,1.5472,0.0016436,0.0016436,0.0016436
11,10193.8,1.48703,1.36391,1.50572,0.77105,0.65468,0.75147,0.41981,1.49162,1.31244,1.51829,0.001604,0.001604,0.001604
12,10949.6,1.47659,1.32397,1.48485,0.70476,0.6575,0.73041,0.40855,1.47327,1.30705,1.49675,0.0015644,0.0015644,0.0015644
13,11699.5,1.45333,1.28722,1.48114,0.73997,0.65262,0.73116,0.42505,1.4253,1.25278,1.49913,0.0015248,0.0015248,0.0015248
14,12439.5,1.44941,1.27568,1.48118,0.72232,0.68756,0.73774,0.40723,1.49052,1.25337,1.54255,0.0014852,0.0014852,0.0014852
15,13238.3,1.42784,1.23922,1.4616,0.75727,0.67523,0.76885,0.45217,1.40869,1.17948,1.46714,0.0014456,0.0014456,0.0014456
16,14070.9,1.40982,1.209,1.44396,0.79471,0.66839,0.77646,0.46035,1.45504,1.12759,1.47633,0.001406,0.001406,0.001406
17,16283,1.40174,1.21206,1.43257,0.78133,0.70915,0.78493,0.46066,1.44211,1.13913,1.4688,0.0013664,0.0013664,0.0013664
18,17049,1.38725,1.1754,1.43148,0.73442,0.73176,0.78966,0.47675,1.39586,1.10335,1.45339,0.0013268,0.0013268,0.0013268
19,17819.6,1.36885,1.14771,1.41977,0.80808,0.71403,0.81467,0.48434,1.40785,1.09118,1.45648,0.0012872,0.0012872,0.0012872
20,18593.9,1.36154,1.13314,1.41237,0.8005,0.72993,0.82129,0.50078,1.36476,1.03318,1.41798,0.0012476,0.0012476,0.0012476
21,19363.2,1.33755,1.1146,1.38949,0.77374,0.72456,0.79293,0.47111,1.39862,1.13727,1.45494,0.001208,0.001208,0.001208
22,20132.6,1.32824,1.09787,1.39099,0.78894,0.72765,0.81557,0.51042,1.34795,1.04367,1.43031,0.0011684,0.0011684,0.0011684
23,20904.2,1.32007,1.06507,1.37731,0.79144,0.7369,0.82094,0.49934,1.37606,1.0046,1.42868,0.0011288,0.0011288,0.0011288
24,21667.9,1.2933,1.04694,1.36903,0.81498,0.71527,0.81575,0.5017,1.33456,1.02579,1.41628,0.0010892,0.0010892,0.0010892
25,22511,1.29846,1.04238,1.36052,0.81692,0.76125,0.84028,0.52164,1.31483,0.98397,1.39563,0.0010496,0.0010496,0.0010496
26,23348.9,1.27755,1.01561,1.35407,0.79523,0.75035,0.83458,0.52138,1.30873,0.96273,1.38765,0.00101,0.00101,0.00101
27,24835.5,1.2631,1.00356,1.33818,0.83012,0.75832,0.84904,0.53413,1.30682,0.92159,1.37884,0.0009704,0.0009704,0.0009704
28,25989.3,1.26263,0.99816,1.34199,0.81182,0.75819,0.84315,0.53047,1.30615,0.93066,1.37188,0.0009308,0.0009308,0.0009308
29,26710.1,1.25399,0.97025,1.33585,0.81779,0.76978,0.85544,0.54431,1.27812,0.91046,1.34842,0.0008912,0.0008912,0.0008912
30,27432,1.24764,0.96495,1.32799,0.81148,0.77862,0.84881,0.53187,1.28314,0.91523,1.36387,0.0008516,0.0008516,0.0008516
31,28151.3,1.21817,0.94399,1.31706,0.81166,0.77512,0.8481,0.55394,1.24773,0.87876,1.33318,0.000812,0.000812,0.000812
32,28871.5,1.20577,0.92981,1.30737,0.82603,0.78314,0.86353,0.55678,1.2563,0.87007,1.34277,0.0007724,0.0007724,0.0007724
33,29593.7,1.19464,0.92222,1.30062,0.84327,0.7739,0.85982,0.55879,1.23518,0.86243,1.32756,0.0007328,0.0007328,0.0007328
34,30307.4,1.19414,0.89343,1.30399,0.84505,0.77348,0.86466,0.56149,1.23155,0.8695,1.32969,0.0006932,0.0006932,0.0006932
35,31079.5,1.17993,0.88586,1.28945,0.82011,0.8059,0.87249,0.56215,1.23169,0.84334,1.32789,0.0006536,0.0006536,0.0006536
36,31889.3,1.163,0.86038,1.27413,0.8224,0.81382,0.86914,0.57732,1.19815,0.83269,1.30517,0.000614,0.000614,0.000614
37,32986.1,1.15181,0.86512,1.27297,0.83515,0.78417,0.87145,0.5698,1.20964,0.83453,1.31414,0.0005744,0.0005744,0.0005744
38,34759.7,1.1484,0.83127,1.26518,0.82062,0.8134,0.87641,0.57442,1.20923,0.8205,1.31466,0.0005348,0.0005348,0.0005348
39,41322.1,1.1342,0.82376,1.25444,0.85317,0.8037,0.88214,0.58351,1.183,0.8043,1.30108,0.0004952,0.0004952,0.0004952
40,42040.1,1.11519,0.81695,1.25623,0.82884,0.82837,0.87964,0.58641,1.19962,0.80622,1.30611,0.0004556,0.0004556,0.0004556
41,42752.3,1.09266,0.70122,1.23395,0.8581,0.79959,0.89312,0.5893,1.19185,0.78212,1.29066,0.000416,0.000416,0.000416
42,43464,1.05041,0.66346,1.20079,0.85248,0.81398,0.89289,0.59743,1.1705,0.76412,1.27709,0.0003764,0.0003764,0.0003764
43,44175.7,1.02809,0.63285,1.18009,0.84861,0.80267,0.88436,0.59905,1.15715,0.76906,1.26993,0.0003368,0.0003368,0.0003368
44,44889.5,1.02131,0.6226,1.18105,0.85062,0.83248,0.89643,0.60447,1.16738,0.75018,1.27758,0.0002972,0.0002972,0.0002972
45,45603,1.00044,0.61305,1.16705,0.82735,0.84687,0.89755,0.60346,1.16437,0.75423,1.27175,0.0002576,0.0002576,0.0002576
46,46308.2,0.99126,0.60413,1.16545,0.86009,0.82631,0.8962,0.61089,1.1466,0.73574,1.26602,0.000218,0.000218,0.000218
47,47022.5,0.96066,0.58084,1.14372,0.86569,0.81295,0.90219,0.61502,1.13621,0.72451,1.25863,0.0001784,0.0001784,0.0001784
48,47735.9,0.96651,0.57046,1.14313,0.84636,0.84789,0.90215,0.61664,1.13325,0.71752,1.25538,0.0001388,0.0001388,0.0001388
49,48439,0.94378,0.56616,1.1364,0.85297,0.85714,0.90766,0.61983,1.13115,0.70861,1.26071,9.92e-05,9.92e-05,9.92e-05
50,49133.3,0.94687,0.56112,1.1301,0.84792,0.85612,0.9072,0.62074,1.12638,0.70316,1.25682,5.96e-05,5.96e-05,5.96e-05
